epoch,loss,val_loss
0,9.789688448512546,8.65735912322998
1,7.418446344016793,6.88266134262085
2,6.941956955256849,6.567873001098633
3,6.65778137315187,6.346961975097656
4,6.4783001876741935,6.10872745513916
5,6.320570016203208,5.920337200164795
6,6.209141577383874,6.0622148513793945
7,6.1203014499574255,6.795273303985596
8,6.038425898488115,5.953245639801025
9,5.91491895628312,5.912141799926758
